prodcode,dmdcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
12728,34819911000001104,10399,60346020,Calcium lactate gluconate 930.8mg / Calcium carbonate 700mg effervescent tablets sugar free,Calcium lactate gluconate/Calcium carbonate,930.8mg + 700mg,Effervescent tablet,Oral,00000000,Unknown,Februar 2009
12885,34820211000001107,9712,60347020,Calcium lactate gluconate 2.263g / Calcium carbonate 1.75g effervescent tablets sugar free,Calcium lactate gluconate/Calcium carbonate,2.263gram + 1.75gram,Effervescent tablet,Oral,09050101,Calcium Supplements,Februar 2009
13189,236725001000027106,889,87341020,Calcium carbonate 120mg/ml suspension,Calcium Carbonate,120mg/ml,Suspension,Oral,01010202/09050101,Indigestion Preparations/Calcium Supplements,Februar 2009
15256,19515001000027102,3,50478020,Rap-eze Tablet (Bayer Plc),Calcium carbonate,500mg,Chewable tablet,Oral,01010202,Indigestion Preparations,Februar 2009
15995,4598211000001104,1668,69127020,Calcium carbonate 800mg chewable tablets,Calcium carbonate,800mg,Chewable tablet,Oral,01010100,Antacids And Simeticone,Februar 2009
18750,228115001000027101,14,84898020,Calcette 1.25g Tablet (Ashbourne Pharmaceuticals Ltd),Calcium carbonate,1.25gram,Tablet,Oral,09050101,Calcium Supplements,Februar 2009
19837,329163004,303,69453020,Calcium carbonate 2.5g granules sachets,Calcium carbonate,2.5gram,Granules,Oral,00000000,Unknown,Februar 2009
20035,91935001000027103,316,2945007,CALCIUM LACTATE 1 GM TAB,,,,,00000000,Unknown,Februar 2009
21101,92025001000027109,88,2948007,CALCIUM LACTATE SYR,,,,,00000000,Unknown,Februar 2009
23429,223225001000027106,366,83522020,Calcia chewable Tablet (English Grains Healthcare),Calcium Carbonate/Vitamins/Mineral Salts,,Tablet,Oral,09060750,-,Februar 2009
27521,9992111000001100,47,91073020,Rennie Fruit 500mg tablets (Bayer Plc),Calcium carbonate,500mg,Chewable tablet,Oral,01010000,Indigestion And GORD (Gastro-Oesophageal Reflux Disease),Februar 2009
29579,188085001000027102,3,73615020,Opas Tablet (Co-Pharma Ltd),Calcium Carbonate/Magnesium Trisilicate/Sodium Bicarbonate/Magnesium Carbonate,,Tablet,Oral,01010202,Indigestion Preparations,Februar 2009
30595,160395001000027103,118,69452020,Calcium carbonate 1.25g granules,Calcium Carbonate,1.25g,Granules,Oral,09050101,Calcium Supplements,Februar 2009
32569,95825001000027105,83,60336020,Calcium carbonate 250mg tablets,Calcium Carbonate,250mg,Tablets,Oral,09050101,Calcium Supplements,Februar 2009
37152,8303611000001106,410,88470020,Calcium carbonate 500mg/5ml oral suspension,Calcium carbonate,100mg/1ml,Oral suspension,Oral,09050101,Calcium Supplements,Februar 2009
38917,547411000001104,36135,95931020,Calcichew Forte chewable tablets (Takeda UK Ltd),Calcium carbonate,2.5gram,Chewable tablet,Oral,09050101,Calcium Supplements,Februar 2009
38967,3162711000001103,23071,95859020,Sandocal 1000 effervescent tablets (GlaxoSmithKline Consumer Healthcare),Calcium lactate gluconate/Calcium carbonate,2.263gram + 1.75gram,Effervescent tablet,Oral,09050101,Calcium Supplements,Februar 2009
38971,3163511000001101,16356,95861020,Sandocal 400 effervescent tablets (Novartis Consumer Health UK Ltd),Calcium lactate gluconate/Calcium carbonate,930.8mg + 700mg,Effervescent tablet,Oral,09050101,Calcium Supplements,Februar 2009
39377,8071011000001105,36,93303020,Rennie Soft Chews 800mg chewable tablets (Bayer Plc),Calcium carbonate,800mg,Chewable tablet,Oral,01010000,Indigestion And GORD (Gastro-Oesophageal Reflux Disease),April 2009
40076,95855001000027106,182,60339020,Calcium carbonate 500mg tablets,Calcium Carbonate,500mg,Tablets,Oral,01010202,Indigestion Preparations,August 2009
41514,7825001000027103,285,48984020,Calcium lactate 300mg Tablet (Thornton & Ross Ltd),Calcium lactate,300mg,Tablet,Oral,09050101,Calcium Supplements,MÃ¤rz 2010
41529,57445001000027102,33,55178020,Calcium gluconate 600mg Tablet (Approved Prescription Services Ltd),Calcium gluconate,600mg,Tablet,Oral,09050101,Calcium Supplements,MÃ¤rz 2010
41576,57465001000027108,68,55181020,Calcium lactate 300mg Tablet (Approved Prescription Services Ltd),Calcium lactate,300mg,Tablet,Oral,09050101,Calcium Supplements,MÃ¤rz 2010
41577,768911000001100,18,51086020,Calcium lactate 300mg tablets (A A H Pharmaceuticals Ltd),Calcium lactate,300mg,Tablet,Oral,09050101,Calcium Supplements,MÃ¤rz 2010
43273,243355001000027102,12,91460020,Calcium carbonate capsules,Calcium Carbonate,,Capsules,Oral,01010202/09050101,Indigestion Preparations/Calcium Supplements,August 2010
45200,14780611000001102,448,98519020,Calcium carbonate 250mg dispersible tablets,Calcium carbonate,250mg,Dispersible tablet,Oral,09050101,Calcium Supplements,Mai 2011
45754,16649911000001107,124,74956020,Calcium carbonate 1.25g chewable tablets sugar free (A A H Pharmaceuticals Ltd),Calcium carbonate,1.25gram,Chewable tablet,Oral,09050101,Calcium Supplements,Juli 2011
50246,13839811000001100,1,7854020,Calcichew 500mg chewable tablets (DE Pharmaceuticals),Calcium carbonate,1.25gram,Chewable tablet,Oral,09050101,Calcium Supplements,Januar 2013
50767,16436111000001102,338,37054020,Calcium 600mg chewable tablets,Calcium carbonate,600mg,Chewable tablet,Oral,09050101,Calcium Supplements,Januar 2013
51017,8303511000001107,307,19093020,Calcium carbonate 600mg/5ml oral suspension,Calcium carbonate,120mg/1ml,Oral suspension,Oral,09050101,Calcium Supplements,Januar 2013
51257,4569311000001103,14,14132020,Remegel 800mg chewable tablets mint (SSL International Plc),Calcium carbonate,800mg,Chewable tablet,Oral,01010100,Antacids And Simeticone,Januar 2013
53348,16143511000001103,63,7856020,Calcichew 500mg chewable tablets (Lexon (UK) Ltd),Calcium carbonate,1.25gram,Chewable tablet,Oral,09050101,Calcium Supplements,Januar 2013
55598,188145001000027103,1,73627020,Setlers Tablet (GlaxoSmithKline Consumer Healthcare),Calcium carbonate,500mg,Chewable tablet,Oral,01010202,Indigestion Preparations,Juni 2013
57577,16260111000001106,1,7863020,Cacit 500mg effervescent tablets (Mawdsley-Brooks & Company Ltd),Calcium carbonate,1.25gram,Effervescent tablet,Oral,09050101,Calcium Supplements,Oktober 2013
59471,22109811000001105,51,14612021,Rennie Orange 500mg chewable tablets (Bayer Plc),Calcium carbonate,500mg,Chewable tablet,Oral,01010100,Antacids And Simeticone,April 2014
60122,8079711000001106,9,14125020,Setlers Antacid peppermint chewable tablets (Thornton & Ross Ltd),Calcium carbonate,500mg,Chewable tablet,Oral,01010100,Antacids And Simeticone,Juni 2014
62668,28490811000001108,908,44857021,Alliance Calcium syrup (Alliance Pharmaceuticals Ltd),Calcium lactate/Calcium gluconate,55.2mg/1ml + 108.8mg/1ml,Oral solution,Oral,09050101,Calcium Supplements,MÃ¤rz 2015
62930,28565911000001103,107,44856021,Calcium gluconate 544mg/5ml / Calcium lactate 276mg/5ml oral solution,Calcium lactate/Calcium gluconate,55.2mg/1ml + 108.8mg/1ml,Oral solution,Oral,09050101,Calcium Supplements,April 2015
64082,7719311000001106,8,18163020,Calcium carbonate 166.67mg tablets,Calcium carbonate,166.67mg,Tablet,Oral,09050101,Calcium Supplements,August 2015
65740,8791711000001101,1,20852020,Calcium carbonate 500mg capsules,Calcium carbonate,500mg,Capsule,Oral,09050101,Calcium Supplements,MÃ¤rz 2016
66882,16435111000001108,10,37055020,HealthAid Strong Calcium 600mg chewable tablets (HealthAid Ltd),Calcium carbonate,600mg,Chewable tablet,Oral,09050101,Calcium Supplements,Juli 2016
67283,9155411000001108,72,7852020,Calcium carbonate 1.25g chewable tablets sugar free (Kent Pharmaceuticals Ltd),Calcium carbonate,1.25gram,Chewable tablet,Oral,09050101,Calcium Supplements,August 2016
67598,3194411000001104,3,48977020,Calcium gluconate 1g effervescent tablets (Actavis UK Ltd),Calcium gluconate,1gram,Effervescent tablet,Oral,09050101,Calcium Supplements,September 2016
67804,5529411000001105,424,7851020,Calcichew 1.25g tablets (Dowelhurst Ltd),Calcium carbonate,1.25gram,Chewable tablet,Oral,09050101,Calcium Supplements,Oktober 2016
70692,14203011000001108,8,35449020,Calcium carbonate 120mg/5ml oral suspension,Calcium carbonate,24mg/1ml,Oral suspension,Oral,09050101,Calcium Supplements,November 2017
72319,18562111000001109,46,37918020,Calcium carbonate 300mg tablets,Calcium carbonate,300mg,Tablet,Oral,09050101,Calcium Supplements,Juni 2018
73133,243365001000027106,144,91462020,Calcium carbonate oral solution,Calcium Carbonate,,,,01010202/09050101,Indigestion Preparations/Calcium Supplements,September 2018
74327,8304211000001107,19,19106020,Calcium carbonate 1.25g/5ml oral suspension,Calcium carbonate,250mg/1ml,Oral suspension,Oral,09050101,Calcium Supplements,Januar 2019
75730,8303811000001105,1,19098020,Calcium carbonate 250mg/5ml oral suspension,Calcium carbonate,50mg/1ml,Oral suspension,Oral,09050101,Calcium Supplements,April 2019
76032,21034911000001103,2,44081020,Calconate 250mg dispersible tablets (Ennogen Healthcare Ltd),Calcium carbonate,250mg,Dispersible tablet,Oral,09050101,Calcium Supplements,Mai 2019
76986,15533111000001100,1,36378020,Calcium carbonate 300mg capsules,Calcium carbonate,300mg,Capsule,Oral,09050101,Calcium Supplements,Juli 2019
76989,16351811000001109,5,7857020,Calcichew 500mg chewable tablets (Mawdsley-Brooks & Company Ltd),Calcium carbonate,1.25gram,Chewable tablet,Oral,09050101,Calcium Supplements,Juli 2019
77069,8304111000001101,8,19104020,Calcium carbonate 125mg/5ml oral suspension,Calcium carbonate,25mg/1ml,Oral suspension,Oral,09050101,Calcium Supplements,Juli 2019
77355,10843211000001100,449,7853020,Calcichew 500mg chewable tablets (Waymade Healthcare Plc),Calcium carbonate,1.25gram,Chewable tablet,Oral,09050101,Calcium Supplements,August 2019
2285,329331002,585784,60056020,Alfacalcidol 250nanogram capsules,Alfacalcidol,250nanogram,Capsule,Oral,9060400,Vitamin D,February 2009
2700,108211000001100,133810,50851020,One-Alpha 250nanogram capsules (LEO Pharma),Alfacalcidol,250nanogram,Capsule,Oral,9060400,Vitamin D,February 2009
3540,329332009,180983,60057020,Alfacalcidol 1microgram capsules,Alfacalcidol,1microgram,Capsule,Oral,9060400,Vitamin D,February 2009
5082,329344007,163278,69038020,Alfacalcidol 500nanogram capsules,Alfacalcidol,500nanogram,Capsule,Oral,9060400,Vitamin D,February 2009
6476,240411000001106,5593,52798020,One-Alpha 2micrograms/ml oral drops (LEO Pharma),Alfacalcidol,2microgram/1ml,Oral drops,Oral,9060400,Vitamin D,February 2009
7971,194285001000027108,467,74730020,Alfa-d 0.25microgram Capsule (Berk Pharmaceuticals Ltd),Alfacalcidol,250nanogram,Capsule,Oral,9060400,Vitamin D,February 2009
8197,33011000001103,57463,50852020,One-Alpha 1microgram capsules (LEO Pharma),Alfacalcidol,1microgram,Capsule,Oral,9060400,Vitamin D,February 2009
9184,151965001000027101,3384,68031020,One-alpha 0.2 microgram/ml Oral solution (LEO Pharma),Alfacalcidol,0.2 microgram/ml,Oral Solution,Oral,9060400,Vitamin D,February 2009
9700,329343001,14625,69039020,Alfacalcidol 2micrograms/ml oral drops sugar free,Alfacalcidol,2microgram/1ml,Oral drops,Oral,9060400,Vitamin D,February 2009
9980,593711000001109,35504,69035020,One-Alpha 0.5microgram capsules (LEO Pharma),Alfacalcidol,500nanogram,Capsule,Oral,9060400,Vitamin D,February 2009
10664,180015001000027101,813,6324007,ALFACALCIDOL DROPS 5 MCG LIQ,,,,,0,Unknown,February 2009
11347,151935001000027106,786,68027020,Alfacalcidol 0.2micrograms/ml oral solution,Alfacalcidol,200nanogram/ml,Oral Solution,Oral,9060400,Vitamin D,February 2009
19894,151945001000027107,103,68028020,Alfacalcidol 2micrograms/ml intravenous injection,Alfacalcidol,2micrograms/ml,IV Injection,Intravenous Injection,9060400,Vitamin D,February 2009
23412,194295001000027107,137,74731020,Alfa-d 1microgram Capsule (Berk Pharmaceuticals Ltd),Alfacalcidol,1microgram,Capsule,Oral,9060400,Vitamin D,February 2009
26574,22595001000027105,96,50853020,One-alpha iv 2microgram/ml Intravenous injection (LEO Pharma),Alfacalcidol,2microgram/ml,Intravenous Injection,Intravenous Injection,9060400,Vitamin D,February 2009
35441,35895811000001102,72,92371020,Alfacalcidol 1micrograms/0.5ml solution for injection ampoules,,,,,9060400,Vitamin D,February 2009
36266,35896111000001103,61,92369020,Alfacalcidol 2micrograms/1ml solution for injection ampoules,,,,,9060400,Vitamin D,February 2009
42435,71811000001108,7,92375020,One-Alpha 1micrograms/0.5ml solution for injection ampoules (LEO Pharma),Alfacalcidol,2microgram/1ml,Solution for injection,Intravenous,9060400,Vitamin D,May 2010
42907,544411000001109,121,64477020,Alfacalcidol 250nanogram capsules (Teva UK Ltd),Alfacalcidol,250nanogram,Capsule,Oral,9060400,Vitamin D,July 2010
46978,313211000001103,35,64420020,Alfacalcidol 500nanogram capsules (Teva UK Ltd),Alfacalcidol,500nanogram,Capsule,Oral,9060400,Vitamin D,March 2012
55410,11655711000001109,2,29579020,Alfacalcidol 1mg/5ml oral suspension,Alfacalcidol,200microgram/1ml,Oral suspension,Oral,9060400,Vitamin D,May 2013
61588,109811000001106,4,7959020,Alfacalcidol 250nanogram capsules (Kent Pharmaceuticals Ltd),Alfacalcidol,250nanogram,Capsule,Oral,9060400,Vitamin D,November 2014
62657,19618911000001101,1,7974020,One-Alpha 2micrograms/ml oral drops (DE Pharmaceuticals),Alfacalcidol,2microgram/1ml,Oral drops,Oral,9060400,Vitamin D,March 2015
7787,329347000,93796,60318020,Calcitriol 250nanogram capsules,Calcitriol,250nanogram,Capsule,Oral,9060400,Vitamin D,February 2009
9046,84911000001109,12446,58814020,Rocaltrol 250nanogram capsules (Roche Products Ltd),Calcitriol,250nanogram,Capsule,Oral,9060400,Vitamin D,February 2009
9774,329348005,24827,60319020,Calcitriol 500nanogram capsules,Calcitriol,500nanogram,Capsule,Oral,9060400,Vitamin D,February 2009
15881,2975611000001104,3355,58815020,Rocaltrol 500nanogram capsules (Roche Products Ltd),Calcitriol,500nanogram,Capsule,Oral,9060400,Vitamin D,February 2009
28272,3615511000001104,1,75867020,Calcijex 1micrograms/1ml solution for injection ampoules (Abbott Laboratories Ltd),Calcitriol,1microgram/1ml,Solution for injection,Intravenous,0,Unknown,February 2009
30300,3618411000001108,1,75868020,Calcijex 2micrograms/1ml solution for injection ampoules (Abbott Laboratories Ltd),Calcitriol,2microgram/1ml,Solution for injection,Intravenous,0,Unknown,February 2009
31341,36132911000001100,5,75863020,Calcitriol 1micrograms/1ml solution for injection ampoules,,,,,0,Unknown,February 2009
47493,13826111000001102,1,75732020,Calcitriol 250nanogram capsules (PLIVA Pharma Ltd),Calcitriol,250nanogram,Capsule,Oral,9060400,Vitamin D,July 2012
51905,7400311000001105,8,17337020,Calcitriol 1micrograms/ml oral solution sugar free,Calcitriol,1microgram/1ml,Oral solution,Oral,9060400,Vitamin D,January 2013
55594,36133011000001108,30,75864020,Calcitriol 2micrograms/1ml solution for injection ampoules,,,,,0,Unknown,June 2013
3331,52095001000027100,18,1625007,VITAMIN D2 TAB,,,,,00000000,Unknown,Februar 2009
80173,35436411000001107,1,80967021,"SunVit-D3 1,000unit Vegan tablets (SunVit-D3 Ltd)",Colecalciferol,1000unit,Tablet,Oral,09060400,Vitamin D,MÃ¤rz 2020
79710,37224211000001101,25,88070021,"Valupak Vitamin D3 1,000unit capsules (BR Pharmaceuticals Ltd)",Colecalciferol,1000unit,Capsule,Oral,09060400,Vitamin D,Januar 2020
79539,37232911000001103,1,88101021,"Colecalciferol 3,000units/ml oral solution (DE Pharmaceuticals)",Colecalciferol,3000unit/1ml,Oral solution,Oral,09060400,Vitamin D,Januar 2020
79519,37215411000001106,15,87591021,"Strivit-D3 3,200unit capsules (Strides Pharma UK Ltd)",Colecalciferol,3200unit,Capsule,Oral,09060400,Vitamin D,Januar 2020
79724,37215811000001108,4,87193021,"Strivit-D3 20,000unit capsules (Strides Pharma UK Ltd)",Colecalciferol,20000unit,Capsule,Oral,09060400,Vitamin D,Januar 2020
79475,32846211000001102,1,69725021,Natures Aid Vitamin D3 400unit tablets (Natures Aid Ltd),Colecalciferol,400unit,Tablet,Oral,09060400,Vitamin D,Dezember 2019
78590,37142211000001106,3,87596021,"Pro D3 2,000units/ml Vegan liquid (Synergy Biologics Ltd)",Colecalciferol,2000unit/1ml,Oral solution,Oral,09060400,Vitamin D,November 2019
78679,36446411000001106,18,83156021,"ColeKal-D3 1,000unit tablets (Essential-Healthcare Ltd)",Colecalciferol,1000unit,Tablet,Oral,09060400,Vitamin D,November 2019
78624,21374711000001102,3,45284020,"Colecalciferol 1,000unit tablets (A A H Pharmaceuticals Ltd)",Colecalciferol,1000unit,Tablet,Oral,09060400,Vitamin D,November 2019
78733,34502511000001103,1,76912021,"Colecalciferol 14,400units/ml oral drops sugar free",Colecalciferol,14400unit/1ml,Oral drops,Oral,09060400,Vitamin D,November 2019
78886,30805311000001102,1,60059021,"RoyalVit D3 1,000unit tablets (Regence Healthcare Ltd)",Colecalciferol,1000unit,Tablet,Oral,09060400,Vitamin D,November 2019
78740,21613011000001103,1,46635020,"Cubicole D3 1,000unit tablets (Cubic Pharmaceuticals Ltd)",Colecalciferol,1000unit,Tablet,Oral,09060400,Vitamin D,November 2019
78316,32463311000001103,4,67733021,"Solgar Vitamin D3 1,000unit chewable tablets (Solgar Vitamin and Herb)",Colecalciferol,1000unit,Chewable tablet,Oral,09060400,Vitamin D,November 2019
78070,36446211000001107,21,83157021,ColeKal-D3 400unit capsules (Essential-Healthcare Ltd),Colecalciferol,400unit,Capsule,Oral,09060400,Vitamin D,Oktober 2019
77931,34580611000001101,2,77335021,"Urgent-D 2,000unit chewable tablets (Vega Nutritionals Ltd)",Colecalciferol,2000unit,Chewable tablet,Oral,09060400,Vitamin D,September 2019
77969,34939011000001101,1,78885021,"Premier Vitamin D3 1,000unit tablets (Premier Health Products Ltd)",Colecalciferol,1000unit,Tablet,Oral,09060400,Vitamin D,September 2019
78040,22778911000001107,7,17275021,"E-D3 10,000units/ml oral solution (Ennogen Healthcare Ltd)",Colecalciferol,10000unit/1ml,Oral solution,Oral,09060400,Vitamin D,September 2019
76285,34157411000001100,1,75224021,"Lamberts Vitamin D3 4,000unit capsules (Lamberts Healthcare Ltd)",Colecalciferol,4000unit,Capsule,Oral,09060400,Vitamin D,Mai 2019
76101,17309211000001101,4,37357020,Solgar Vitamin D3 600unit capsules (Solgar Vitamin and Herb),Colecalciferol,600unit,Capsule,Oral,09060400,Vitamin D,Mai 2019
76182,22330711000001106,1,15400021,"BioLife Vitamin D3 1,000unit tablets (Lifestyle Natural Health Ltd)",Colecalciferol,1000unit,Tablet,Oral,09060400,Vitamin D,Mai 2019
75955,266065001000027105,53,398021,Colecalciferol 500 units tablets,Colecalciferol,,,,09060400,Vitamin D,April 2019
75759,34943211000001108,15,79111021,"ColeKal-D3 4,000unit tablets (Essential-Healthcare Ltd)",Colecalciferol,4000unit,Tablet,Oral,09060400,Vitamin D,April 2019
75956,32827311000001106,24,69724021,"HealthAid Vitamin D3 5,000unit capsules (HealthAid Ltd)",Colecalciferol,5000unit,Capsule,Oral,09060400,Vitamin D,April 2019
74353,35243711000001105,3,80258021,"Pro D3 3,200unit Vegan capsules (Synergy Biologics Ltd)",Colecalciferol,3200unit,Capsule,Oral,09060400,Vitamin D,Januar 2019
74476,35437411000001109,87,81621021,"SunVit-D3 20,000unit capsules (SunVit-D3 Ltd)",Colecalciferol,20000unit,Capsule,Oral,09060400,Vitamin D,Januar 2019
74501,35243511000001100,8,80247021,Pro D3 800unit Vegan capsules (Synergy Biologics Ltd),Colecalciferol,800unit,Capsule,Oral,09060400,Vitamin D,Januar 2019
74471,34448711000001109,4,76913021,"Sapvit-D3 14,400units/ml oral drops (Stirling Anglian Pharmaceuticals Ltd)",Colecalciferol,14400unit/1ml,Oral drops,Oral,09060400,Vitamin D,Januar 2019
74152,35437011000001100,167,81629021,"SunVit-D3 1,000unit capsules (SunVit-D3 Ltd)",Colecalciferol,1000unit,Capsule,Oral,09060400,Vitamin D,Dezember 2018
74195,32846411000001103,1,69722021,"Natures Aid Vitamin D3 1,000unit tablets (Natures Aid Ltd)",Colecalciferol,1000unit,Tablet,Oral,09060400,Vitamin D,Dezember 2018
74204,22195811000001109,1,15396021,"E-D3 10,000unit capsules (Ennogen Healthcare Ltd)",Colecalciferol,10000unit,Capsule,Oral,09060400,Vitamin D,Dezember 2018
73782,35243911000001107,31,80244021,"Pro D3 20,000unit Vegan capsules (Synergy Biologics Ltd)",Colecalciferol,20000unit,Capsule,Oral,09060400,Vitamin D,November 2018
73576,10694311000001107,24,77029021,"Colecalciferol 15,000units/5ml oral solution sugar free",Colecalciferol,3000unit/1ml,Oral solution,Oral,09060400,Vitamin D,November 2018
72818,34282111000001100,81,75893021,"FSC High Strength Vitamin D3 2,500unit capsules (Bee Health Ltd)",Colecalciferol,2500unit,Capsule,Oral,09060400,Vitamin D,August 2018
72927,30759311000001105,1,60060021,Colecalciferol 400unit capsules (AM Distributions (Yorkshire) Ltd),Colecalciferol,400unit,Capsule,Oral,09060400,Vitamin D,August 2018
72608,34581011000001104,11,77337021,EveryDay-D 400unit chewable tablets (Vega Nutritionals Ltd),Colecalciferol,400unit,Chewable tablet,Oral,09060400,Vitamin D,Juli 2018
72481,34865311000001103,7,78704021,"Vitamin D3 1,000unit oral drops (Nutri Advanced Ltd)",Colecalciferol,1000unit/1ml,Oral drops,Oral,09060400,Vitamin D,Juli 2018
72619,32607611000001104,1,67685021,Colecalciferol 400unit tablets (Alissa Healthcare Research Ltd),Colecalciferol,400unit,Tablet,Oral,09060400,Vitamin D,Juli 2018
72402,34942611000001100,135,79108021,"ColeKal-D3 1,000unit capsules (Essential-Healthcare Ltd)",Colecalciferol,1000unit,Capsule,Oral,09060400,Vitamin D,Juni 2018
72267,34872711000001100,13,78894021,"SunVit-D3 25,000unit tablets (SunVit-D3 Ltd)",Colecalciferol,25000unit,Tablet,Oral,09060400,Vitamin D,Mai 2018
72264,34477511000001102,15,77031021,"SunVit-D3 3,000units/ml oral solution (SunVit-D3 Ltd)",Colecalciferol,3000unit/1ml,Oral solution,Oral,09060400,Vitamin D,Mai 2018
72254,34941211000001109,9,78956021,"Colecalciferol 2,500unit tablets",Colecalciferol,2500unit,Tablet,Oral,09060400,Vitamin D,Mai 2018
71829,22197711000001107,1,15398021,E-D3 600unit capsules (Ennogen Healthcare Ltd),Colecalciferol,600unit,Capsule,Oral,09060400,Vitamin D,April 2018
71801,34873511000001103,59,78893021,"SunVit-D3 40,000unit capsules (SunVit-D3 Ltd)",Colecalciferol,40000unit,Capsule,Oral,09060400,Vitamin D,April 2018
72064,34873211000001101,14,78887021,"SunVit-D3 2,500unit capsules (SunVit-D3 Ltd)",Colecalciferol,2500unit,Capsule,Oral,09060400,Vitamin D,April 2018
71828,21015211000001103,6,44100020,E-D3 400unit capsules (Ennogen Healthcare Ltd),Colecalciferol,400unit,Capsule,Oral,09060400,Vitamin D,April 2018
71827,21015611000001101,2,44098020,"E-D3 1,000unit capsules (Ennogen Healthcare Ltd)",Colecalciferol,1000unit,Capsule,Oral,09060400,Vitamin D,April 2018
71953,32846611000001100,4,69727021,"Natures Aid Vitamin D3 5,000unit tablets (Natures Aid Ltd)",Colecalciferol,5000unit,Tablet,Oral,09060400,Vitamin D,April 2018
71671,34873711000001108,124,78890021,SunVit-D3 800unit capsules (SunVit-D3 Ltd),Colecalciferol,800unit,Capsule,Oral,09060400,Vitamin D,Februar 2018
71617,34878111000001103,397,78703021,"Colecalciferol 1,000units/ml oral drops sugar free",Colecalciferol,1000unit/1ml,Oral drops,Oral,09060400,Vitamin D,Februar 2018
71511,34173511000001108,121,75889021,"SunVit-D3 2,200unit capsules (SunVit-D3 Ltd)",Colecalciferol,2200unit,Capsule,Oral,09060400,Vitamin D,Januar 2018
71235,34744811000001104,542,78394021,Pro D3 800unit capsules (Synergy Biologics Ltd),Colecalciferol,800unit,Capsule,Oral,09060400,Vitamin D,Januar 2018
71220,34477311000001108,4,77030021,"SunVit-D3 15,000units/5ml oral solution (SunVit-D3 Ltd)",Colecalciferol,3000unit/1ml,Oral solution,Oral,09060400,Vitamin D,Januar 2018
70879,10694211000001104,26,77026021,"Colecalciferol 10,000units/5ml oral solution sugar free",Colecalciferol,2000unit/1ml,Oral solution,Oral,09060400,Vitamin D,Dezember 2017
70809,34174411000001107,76,75885021,"SunVit-D3 50,000unit capsules (SunVit-D3 Ltd)",Colecalciferol,50000unit,Capsule,Oral,09060400,Vitamin D,Dezember 2017
71195,34478811000001100,7,77027021,"SunVit-D3 10,000units/5ml oral solution (SunVit-D3 Ltd)",Colecalciferol,2000unit/1ml,Oral solution,Oral,09060400,Vitamin D,Dezember 2017
70721,24662711000001100,18,27088021,"D-Max 1,000unit capsules (Nutraconcepts Ltd)",Colecalciferol,1000unit,Capsule,Oral,09060400,Vitamin D,November 2017
70661,34491711000001106,5,77028021,"SunVit-D3 2,000units/ml oral solution (SunVit-D3 Ltd)",Colecalciferol,2000unit/1ml,Oral solution,Oral,09060400,Vitamin D,November 2017
70635,34585211000001107,198,77336021,Colecalciferol 400unit chewable tablets,Colecalciferol,400unit,Chewable tablet,Oral,09060400,Vitamin D,November 2017
70718,34604311000001109,11,77355021,Natures Aid Vitamin D3 400units/ml for infants and children oral drops (Natures Aid Ltd),Colecalciferol,400unit/1ml,Oral drops,Oral,09060400,Vitamin D,November 2017
70527,34173811000001106,73,75904021,"SunVit-D3 3,200unit capsules (SunVit-D3 Ltd)",Colecalciferol,3200unit,Capsule,Oral,09060400,Vitamin D,Oktober 2017
70436,34606511000001109,764,77354021,Colecalciferol 400units/ml oral drops sugar free,Colecalciferol,400unit/1ml,Oral drops,Oral,09060400,Vitamin D,Oktober 2017
70531,34585111000001101,46,77334021,"Colecalciferol 2,000unit chewable tablets",Colecalciferol,2000unit,Chewable tablet,Oral,09060400,Vitamin D,Oktober 2017
70363,28078611000001109,12,42973021,"Colecalciferol 1,000unit capsules (J M McGill Ltd)",Colecalciferol,1000unit,Capsule,Oral,09060400,Vitamin D,Oktober 2017
70354,32850111000001107,12,70264021,"ColeKal-D3 3,200unit capsules (Essential-Healthcare Ltd)",Colecalciferol,3200unit,Capsule,Oral,09060400,Vitamin D,Oktober 2017
70202,34173211000001105,101,75890021,SunVit-D3 400unit capsules (SunVit-D3 Ltd),Colecalciferol,400unit,Capsule,Oral,09060400,Vitamin D,September 2017
70141,33232211000001101,25,70514021,"SunVit-D3 2,000units/ml oral drops (SunVit-D3 Ltd)",Colecalciferol,2000unit/1ml,Oral drops,Oral,09060400,Vitamin D,September 2017
70320,34261811000001100,30,75927021,"Colecalciferol 5,600unit capsules",Colecalciferol,5600unit,Capsule,Oral,09060400,Vitamin D,September 2017
70142,22779511000001106,1,17276021,"E-D3 2,000units/ml oral drops (Ennogen Healthcare Ltd)",Colecalciferol,2000unit/1ml,Oral drops,Oral,09060400,Vitamin D,September 2017
70027,32847111000001106,93,70257021,ColeKal-D3 800unit capsules (Essential-Healthcare Ltd),Colecalciferol,800unit,Capsule,Oral,09060400,Vitamin D,September 2017
69960,34261411000001102,469,75891021,InVita D3 400unit capsules (Consilient Health Ltd),Colecalciferol,400unit,Capsule,Oral,09060400,Vitamin D,Juli 2017
69832,34174111000001102,129,75887021,"SunVit-D3 10,000unit capsules (SunVit-D3 Ltd)",Colecalciferol,10000unit,Capsule,Oral,09060400,Vitamin D,Juli 2017
69833,34240111000001105,6907,75926021,"InVita D3 25,000unit capsules (Consilient Health Ltd)",Colecalciferol,25000unit,Capsule,Oral,09060400,Vitamin D,Juli 2017
