prodcode,productname
70648,Pregabalin 300mg capsules (Teva UK Ltd)
70729,Pregabalin 200mg capsules (Alliance Healthcare (Distribution) Ltd)
70730,Pregabalin 100mg capsules (Alliance Healthcare (Distribution) Ltd)
70731,Pregabalin 75mg capsules (Alliance Healthcare (Distribution) Ltd)
70735,Pregabalin 300mg capsules (Alliance Healthcare (Distribution) Ltd)
71221,Lecaent 200mg capsules (Accord Healthcare Ltd)
71313,Pregabalin 50mg capsules (Zentiva)
71461,Pregabalin 50mg/5ml oral suspension
71533,Pregabalin 50mg capsules (Mylan)
71659,Lecaent 25mg capsules (Accord Healthcare Ltd)
72068,Lecaent 150mg capsules (Accord Healthcare Ltd)
73026,Pregabalin 75mg capsules (Sandoz Ltd)
73387,Lyrica 50mg capsules (DE Pharmaceuticals)
73424,Pregabalin 200mg/5ml oral solution
73455,Lyrica 50mg capsules (Lexon (UK) Ltd)
73584,Pregabalin 300mg capsules (Zentiva)
73817,Pregabalin 300mg/5ml oral suspension
76318,Pregabalin 25mg capsules (Mylan)
77221,Lyrica 100mg capsules (Sigma Pharmaceuticals Plc)
77847,Pregabalin 50mg capsules (Milpharm Ltd)
78146,Pregabalin 25mg capsules (DE Pharmaceuticals)
79320,Lyrica 300mg capsules (Sigma Pharmaceuticals Plc)
37970,Stiripentol 250mg oral powder sachets
42491,Stiripentol 250mg capsules
43836,Stiripentol 500mg capsules
44400,Stiripentol 500mg oral powder sachets
69061,Diacomit 250mg oral powder sachets (Alan Pharmaceuticals)
38789,Lacosamide 50mg tablets
39126,Lacosamide 100mg tablets
39259,Lacosamide 150mg tablets
39356,Vimpat 100mg tablets (UCB Pharma Ltd)
39385,Lacosamide 200mg tablets
39615,Vimpat 50mg tablets (UCB Pharma Ltd)
39952,Vimpat 15mg/ml syrup (UCB Pharma Ltd)
40291,Lacosamide 200mg/20ml solution for infusion vials
40372,Lacosamide 15mg/ml oral solution sugar free
40658,Vimpat 200mg tablets (UCB Pharma Ltd)
41162,Vimpat 150mg tablets (UCB Pharma Ltd)
49084,Lacosamide 10mg/ml oral solution sugar free
52473,Vimpat 10mg/ml syrup (UCB Pharma Ltd)
61760,Vimpat 200mg/20ml solution for infusion vials (UCB Pharma Ltd)
46319,Trobalt 50mg tablets (GlaxoSmithKline UK Ltd)
46320,Trobalt 100mg tablets (GlaxoSmithKline UK Ltd)
46380,Retigabine 100mg tablets
46381,Retigabine 50mg tablets
46622,Retigabine 200mg tablets
46787,Retigabine 50mg tablets and Retigabine 100mg tablets
46788,Retigabine 300mg tablets
47032,Trobalt 200mg tablets (GlaxoSmithKline UK Ltd)
47715,Trobalt 300mg tablets (GlaxoSmithKline UK Ltd)
47770,Retigabine 400mg tablets
54190,Trobalt 400mg tablets (GlaxoSmithKline UK Ltd)
50285,Perampanel 2mg tablets
53082,Perampanel 4mg tablets
54194,Perampanel 6mg tablets
54195,Perampanel 8mg tablets
54146,Fycompa 2mg tablets (Eisai Ltd)
54594,Perampanel 10mg tablets
54595,Perampanel 12mg tablets
54872,Fycompa 4mg tablets (Eisai Ltd)
54905,Fycompa 8mg tablets (Eisai Ltd)
57349,Fycompa 6mg tablets (Eisai Ltd)
59622,Fycompa 10mg tablets (Eisai Ltd)
60083,Fycompa 12mg tablets (Eisai Ltd)
72897,Perampanel 4mg/5ml oral suspension
78693,Perampanel 500micrograms/ml oral suspension sugar free
69375,Brivaracetam 50mg/5ml oral solution sugar free
77254,Briviact 50mg/5ml solution for injection vials (UCB Pharma Ltd)
68005,Brivaracetam 25mg tablets
68803,Brivaracetam 10mg tablets
68674,Briviact 100mg tablets (UCB Pharma Ltd)
68349,Brivaracetam 75mg tablets
75014,Briviact 75mg tablets (UCB Pharma Ltd)
68319,Brivaracetam 100mg tablets
69311,Briviact 25mg tablets (UCB Pharma Ltd)
75013,Briviact 10mg/ml oral solution (UCB Pharma Ltd)
77735,Brivaracetam 50mg/5ml solution for injection vials
66495,Brivaracetam 50mg tablets
66763,Briviact 50mg tablets (UCB Pharma Ltd)
68401,Briviact 10mg tablets (UCB Pharma Ltd)
81007,Cannabidiol 100mg/ml oral solution sugar free
9110,Nydrane 500mg Tablet (Lipha Pharmaceuticals Ltd)
9212,Beclamide 500mg tablets
3984,Cyclophosphamide 10mg tablets
3985,Cyclophosphamide 50mg tablets
10729,Endoxana 50mg tablets (Baxter Healthcare Ltd)
16105,Cyclophosphamide 500mg powder for solution for injection vials
26066,Cyclophosphamide 200mg powder for solution for injection vials
26322,Cyclophosphamide 100mg injection
29840,Cyclophosphamide 1g powder for solution for injection vials
31193,Endoxana 10mg Tablet (Baxter Healthcare Ltd)
34728,Cyclophosphamide 50mg Tablet (Pharmacia Ltd)
44273,Endoxana 200mg powder for solution for injection vials (Baxter Healthcare Ltd)
44309,Endoxana 1g powder for solution for injection vials (Baxter Healthcare Ltd)
47752,Cyclophosphamide 25mg tablets
5600,Chlorambucil 2mg tablets
8665,Chlorambucil 5mg tablets
26315,Leukeran 5mg tablets (GlaxoSmithKline UK Ltd)
37099,Melphalan 50mg powder and solvent for solution for injection vials
16929,Melphalan 2mg tablets
12150,Melphalan 5mg tablets
23270,Alkeran 5mg tablets (GlaxoSmithKline UK Ltd)
28709,Chlormethine 10mg solution for injection vials
43168,Ifosfamide 2g powder for solution for injection vials
47767,Bendamustine 25mg powder for solution for infusion vials
57939,Bendamustine 100mg powder for solution for infusion vials
3874,Busulfan 2mg tablets
24448,Treosulfan 250mg capsules
33385,Thiotepa 15mg powder for solution for injection vials
41281,Carmustine 7.7mg implant
12067,Lomustine 40mg capsules
32490,Temozolomide 20mg capsules
21249,Temozolomide 100mg capsules
21250,Temozolomide 250mg capsules
27922,Temozolomide 5mg capsules
35226,Temodal 20mg capsules (Merck Sharp & Dohme Ltd)
55077,Temodal 100mg capsules (Merck Sharp & Dohme Ltd)
29700,Temodal 250mg capsules (Merck Sharp & Dohme Ltd)
33803,Temodal 5mg capsules (Merck Sharp & Dohme Ltd)
76513,Temozolomide 180mg capsules
42372,Temozolomide 140mg capsules
28682,Dacarbazine 200mg powder for solution for injection vials
18238,Dacarbazine 100mg powder for solution for injection vials
72982,Dacarbazine 1g powder for solution for infusion vials
44222,Raltitrexed 2mg powder for solution for infusion vials
70261,Pemetrexed 100mg/4ml solution for infusion vials
37272,Pemetrexed 500mg powder for solution for infusion vials
79060,Alimta 500mg powder for concentrate for solution for infusion vials (Eli Lilly and Company Ltd)
61545,Mercaptopurine 50mg tablets (Aspen Pharma Trading Ltd)
81571,Mercaptopurine 25mg capsules
65629,Mercaptopurine 30mg capsules
67207,Mercaptopurine 50mg tablets (Alliance Healthcare (Distribution) Ltd)
66583,Mercaptopurine 75mg tablets
56753,Mercaptopurine 25mg tablets
29675,Puri-Nethol 50mg tablets (Aspen Pharma Trading Ltd)
3450,Mercaptopurine 50mg tablets
71928,Mercaptopurine 75mg capsules
55772,Mercaptopurine 25mg/5ml oral suspension
19982,Mercaptopurine 10mg capsules
57239,Mercaptopurine 20mg/ml oral suspension
52333,Mercaptopurine 75mg/5ml oral suspension
79703,Mercaptopurine 50mg/5ml oral suspension
71002,Mercaptopurine 50mg tablets (Waymade Healthcare Plc)
32972,Mercaptopurine 10mg tablets
20094,Tioguanine 40mg tablets
26502,Lanvis 40mg tablets (Aspen Pharma Trading Ltd)
67179,Cladribine 10mg/10ml solution for infusion vials
40454,Cladribine 10mg/5ml solution for injection vials
24681,Fludarabine phosphate 50mg powder for solution for injection vials
29743,Fludara 10mg tablets (Sanofi)
74992,Fludarabine phosphate 50mg/2ml solution for injection vials
18476,Fludarabine phosphate 10mg tablets
41266,Cytarabine 1g/10ml solution for injection vials
79745,Cytarabine 100mg/1ml solution for injection vials
47522,Cytarabine 100mg/5ml solution for injection vials
77080,Fluorouracil 2.5g/50ml solution for infusion vials
58240,Fluorouracil 2.5g/100ml solution for infusion vials
55091,Fluorouracil 500mg/10ml solution for injection vials
18070,Fluorouracil 250mg capsules
39388,Fluorouracil 1g/20ml solution for injection vials
78855,Fluorouracil 500mg/10ml solution for injection vials (medac UK)
33418,Gemcitabine 200mg powder for solution for infusion vials
40780,Gemcitabine 1g powder for solution for infusion vials
77633,Gemcitabine 2.2g/220ml infusion bags
18063,Xeloda 500mg tablets (Roche Products Ltd)
33127,Xeloda 150mg tablets (Roche Products Ltd)
7340,Capecitabine 150mg tablets
7341,Capecitabine 500mg tablets
65607,Capecitabine 150mg tablets (A A H Pharmaceuticals Ltd)
75967,Capecitabine 300mg tablets
59842,Azacitidine 100mg powder for suspension for injection vials
81178,Vidaza 100mg powder for suspension for injection vials (Celgene Ltd)
31223,Vinblastine 10mg powder for solution for injection vials
32604,Vinblastine 10mg/10ml solution for injection vials
55823,Vincristine 5mg/5ml solution for injection vials
40649,Vincristine 1mg/1ml solution for injection vials
42684,Vinorelbine 10mg/1ml solution for infusion vials
32774,Vinorelbine 20mg capsules
46838,Vinorelbine 80mg capsules
80851,Vinflunine 250mg/10ml solution for infusion vials
44387,Etoposide 100mg powder for solution for injection vials
8756,Etoposide 50mg capsules
48177,Etoposide 100mg/5ml solution for infusion vials
18751,Etoposide 100mg capsules
37375,Vepesid 100mg capsules (Cheplapharm Arzneimittel GmbH)
63011,Etoposide 500mg/25ml solution for infusion vials
29761,Vepesid 50mg capsules (Cheplapharm Arzneimittel GmbH)
45147,Paclitaxel 150mg/25ml solution for infusion vials
47754,Paclitaxel 100mg/16.7ml solution for infusion vials
69037,Paclitaxel 300mg/50ml solution for infusion vials
39919,Paclitaxel 100mg powder for suspension for infusion vials
35384,Taxol 30mg/5ml solution for infusion vials (Bristol-Myers Squibb Pharmaceuticals Ltd)
78363,Paclitaxel 100mg/16.7ml concentrate for solution for infusion vials (Pfizer Ltd)
35854,Paclitaxel 30mg/5ml solution for infusion vials
61366,Abraxane 100mg powder for suspension for infusion vials (Celgene Ltd)
36552,Taxotere 20mg/0.5ml solution for infusion vials and diluent (Sanofi)
38999,Docetaxel 80mg/2ml solution for infusion vials and diluent
77275,Taxotere 80mg/2ml solution for infusion vials and diluent (Sanofi)
36831,Docetaxel 20mg/0.5ml solution for infusion vials and diluent
44087,Taxotere 20mg/1ml concentrate for solution for infusion vials (Sanofi)
64944,Docetaxel 80mg/4ml solution for infusion vials
81342,Docetaxel 20mg/2ml concentrate for solution for infusion vials (Pfizer Ltd)
47571,Taxotere 160mg/8ml concentrate for solution for infusion vials (Sanofi)
66480,Docetaxel 80mg/8ml solution for infusion vials
55155,Docetaxel 20mg/2ml solution for infusion vials
47755,Docetaxel 160mg/16ml solution for infusion vials
44425,Docetaxel 20mg/1ml solution for infusion vials
60444,Cabazitaxel 60mg/1.5ml solution for infusion vials
62009,Trabectedin 250microgram powder for solution for infusion vials
59362,Trabectedin 1mg powder for solution for infusion vials
27071,Dactinomycin 500microgram powder for solution for injection vials
58496,Cosmegen Lyovac 500microgram powder for solution for injection vials (Recordati Rare Diseases UK Ltd)
30836,Doxorubicin 10mg powder for solution for injection vials
45026,Doxorubicin 200mg/100ml solution for infusion vials
81370,Doxorubicin 20mg/10ml solution for infusion vials
39307,Doxorubicin 10mg/5ml solution for injection vials
37784,Caelyx 20mg/10ml concentrate for solution for infusion vials (Janssen-Cilag Ltd)
40250,Caelyx 50mg/25ml concentrate for solution for infusion vials (Janssen-Cilag Ltd)
33878,Myocet 50mg powder and solvent for suspension for infusion vials (Teva UK Ltd)
37942,Doxorubicin (liposomal) 50mg powder and solvent for suspension for infusion vials
56410,Caelyx pegylated liposomal 50mg/25ml concentrate for solution for infusion vials (Janssen-Cilag Ltd)
71084,Caelyx pegylated liposomal 20mg/10ml concentrate for solution for infusion vials (Janssen-Cilag Ltd)
73512,Doxorubicin liposomal pegylated 20mg/10ml solution for infusion vials
43805,Daunorubicin 20mg powder for solution for infusion vials
40816,Epirubicin 50mg/25ml solution for injection vials
40251,Epirubicin 200mg/100ml solution for infusion vials
31539,Epirubicin 20mg powder for solution for injection vials
28325,Epirubicin 50mg powder for solution for injection vials
80591,Pharmorubicin 200mg/100ml solution for infusion Cytosafe vials (Pfizer Ltd)
43639,Pharmorubicin Rapid Dissolution 50mg powder for solution for injection vials (Pfizer Ltd)
39387,Epirubicin 100mg/50ml solution for infusion vials
31339,Idarubicin 10mg capsules
31984,Idarubicin 5mg capsules
41267,Mitoxantrone 20mg/10ml solution for infusion vials
39366,Mitoxantrone 10mg/5ml solution for infusion vials
32261,"Bleomycin 15,000unit powder for solution for injection vials"
25851,"Bleo-Kyowa 15,000unit powder for solution for injection vials (Kyowa Kirin Ltd)"
80715,Mitomycin 0.02% eye drops
19287,Mitomycin 2mg powder for solution for injection vials
113,Mitomycin 10mg powder for solution for injection vials
61458,Mitomycin 20mg powder for solution for injection vials
32593,Mitomycin 40mg powder for intravesical solution vials
30051,Mitomycin-C Kyowa 2mg powder for solution for injection vials (Kyowa Kirin Ltd)
44594,Mitomycin-C Kyowa 10mg powder for solution for injection vials (Kyowa Kirin Ltd)
48007,Mitomycin-C Kyowa 40mg powder for intravesical solution vials (Kyowa Kirin Ltd)
81922,Mitomycin 0.02% eye drops preservative free
60004,Mitomycin 0.04% eye drops preservative free
38185,Cisplatin 50mg powder for solution for infusion vials
44388,Cisplatin 50mg/50ml solution for infusion vials
48068,Cisplatin 100mg/100ml solution for infusion vials
38453,Cisplatin 10mg/10ml solution for infusion vials
80402,Cisplatin 50mg/50ml solution for infusion vials (Teva UK Ltd)
68944,Cisplatin 100mg/100ml concentrate for solution for infusion vials (Accord Healthcare Ltd)
39450,Carboplatin 600mg/60ml solution for infusion vials
35855,Carboplatin 50mg/5ml solution for infusion vials
61065,Carboplatin 450mg/45ml solution for infusion vials
40781,Carboplatin 150mg/15ml solution for infusion vials
36714,Oxaliplatin 100mg powder for solution for infusion vials
27293,Oxaliplatin 50mg powder for solution for infusion vials
23832,Eloxatin 100mg powder for solution for infusion vials (Sanofi)
39895,Oxaliplatin 100mg/20ml solution for infusion vials
39553,Oxaliplatin 50mg/10ml solution for infusion vials
58942,Oxaliplatin 200mg/40ml concentrate for solution for infusion vials (Accord Healthcare Ltd)
50277,Oxaliplatin 100mg/20ml concentrate for solution for infusion vials (A A H Pharmaceuticals Ltd)
17186,Procarbazine 50mg capsules
28490,Rituximab 100mg/10ml solution for infusion vials
36294,Rituximab 500mg/50ml solution for infusion vials
39111,Rituximab 10mg/ml concentrated intravenous infusion
47502,MabThera 100mg/10ml concentrate for solution for infusion vials (Roche Products Ltd)
31076,Trastuzumab 150mg powder for solution for infusion vials
27292,Herceptin 150mg powder for concentrate for solution for infusion vials (Roche Products Ltd)
58819,Herceptin 600mg/5ml solution for injection vials (Roche Products Ltd)
73295,Trastuzumab 600mg/5ml solution for injection vials
32712,Erbitux 100mg/50ml solution for infusion vials (Merck Serono Ltd)
33205,Cetuximab 100mg/50ml solution for infusion vials
59276,Erbitux 100mg/20ml solution for infusion vials (Merck Serono Ltd)
38158,Cetuximab 100mg/20ml solution for infusion vials
66436,Cetuximab 500mg/100ml solution for infusion vials
38145,Bevacizumab 100mg/4ml solution for infusion vials
25740,Avastin 100mg/4ml solution for infusion vials (Roche Products Ltd)
45122,Panitumumab 100mg/5ml solution for infusion vials
81093,Panitumumab 400mg/20ml solution for infusion vials
79075,Catumaxomab 10micrograms/0.1ml solution for infusion pre-filled syringes
60707,Ofatumumab 100mg/5ml solution for infusion vials
56041,Ipilimumab 50mg/10ml solution for infusion vials
58862,Ipilimumab 200mg/40ml solution for infusion vials
58142,Brentuximab vedotin 50mg powder for solution for infusion vials
61908,Pertuzumab 420mg/14ml solution for infusion vials
70553,Obinutuzumab 1g/40ml solution for infusion vials
71157,Nivolumab 100mg/10ml solution for infusion vials
71269,Pembrolizumab 100mg/4ml solution for infusion vials
80891,Pembrolizumab 50mg powder for solution for infusion vials
78694,Daratumumab 100mg/5ml solution for infusion vials
80848,Inotuzumab ozogamicin 1mg powder for solution for infusion vials
81341,Durvalumab 120mg/2.4ml solution for infusion vials
72422,Avelumab 200mg/10ml solution for infusion vials
80485,Atezolizumab 1.2g/20ml solution for infusion vials
21318,Imatinib 400mg tablets
28800,Glivec 400mg tablets (Novartis Pharmaceuticals UK Ltd)
33823,Glivec 100mg tablets (Novartis Pharmaceuticals UK Ltd)
21295,Glivec 100mg capsules (Novartis Pharmaceuticals UK Ltd)
76563,Imatinib 400mg capsules
21286,Imatinib 100mg capsules
29229,Imatinib 100mg tablets
41077,Gefitinib 250mg tablets
46563,Iressa 250mg tablets (AstraZeneca UK Ltd)
33827,Erlotinib 150mg tablets
40094,Erlotinib 100mg tablets
45992,Erlotinib 25mg tablets
25262,Tarceva 150mg tablets (Roche Products Ltd)
47556,Tarceva 100mg tablets (Roche Products Ltd)
37441,Tarceva 25mg tablets (Roche Products Ltd)
40580,Sunitinib 50mg capsules
44063,Sunitinib 25mg capsules
38871,Sunitinib 12.5mg capsules
45450,Sutent 50mg capsules (Pfizer Ltd)
42993,Sutent 25mg capsules (Pfizer Ltd)
39795,Sutent 12.5mg capsules (Pfizer Ltd)
35685,Sorafenib 200mg tablets
42362,Nexavar 200mg tablets (Bayer Plc)
37238,Dasatinib 20mg tablets
36062,Dasatinib 50mg tablets
36957,Dasatinib 70mg tablets
80457,Sprycel 100mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)
42390,Dasatinib 100mg tablets
65280,Dasatinib 80mg tablets
46837,Lapatinib 250mg tablets
38317,Nilotinib 200mg capsules
45820,Nilotinib 150mg capsules
40453,Torisel 30mg/1.2ml concentrate for solution for infusion vials and diluent (Pfizer Ltd)
46823,Pazopanib 400mg tablets
47552,Pazopanib 200mg tablets
56652,Votrient 200mg tablets (Novartis Pharmaceuticals UK Ltd)
72191,Votrient 400mg tablets (Novartis Pharmaceuticals UK Ltd)
57172,Vandetanib 100mg tablets
61854,Afatinib 20mg tablets
72404,Afatinib 30mg tablets
72763,Afatinib 40mg tablets
78899,Giotrif 40mg tablets (Boehringer Ingelheim Ltd)
75226,Bosutinib 500mg tablets
69830,Bosutinib 100mg tablets
58932,Vemurafenib 240mg tablets
58758,Crizotinib 200mg capsules
68132,Axitinib 5mg tablets
58025,Axitinib 1mg tablets
62572,Axitinib 7mg tablets
64275,Ruxolitinib 5mg tablets
69014,Ruxolitinib 10mg tablets
67636,Jakavi 5mg tablets (Novartis Pharmaceuticals UK Ltd)
60008,Ruxolitinib 20mg tablets
59434,Ruxolitinib 15mg tablets
80293,Jakavi 20mg tablets (Novartis Pharmaceuticals UK Ltd)
74634,Regorafenib 40mg tablets
74514,Dabrafenib 75mg capsules
65784,Dabrafenib 50mg capsules
63202,Tafinlar 75mg capsules (Novartis Pharmaceuticals UK Ltd)
69900,Tafinlar 50mg capsules (Novartis Pharmaceuticals UK Ltd)
77960,Ponatinib 45mg tablets
72063,Trametinib 2mg tablets
67591,Trametinib 500micrograms tablets
73683,Cabozantinib 40mg tablets
81204,Cabozantinib 20mg tablets
73218,Cabozantinib 20mg capsules and Cabozantinib 80mg capsules
74448,Cabozantinib 20mg capsules
65183,Ibrutinib 140mg capsules
71723,Imbruvica 140mg capsules (Janssen-Cilag Ltd)
73079,Ceritinib 150mg capsules
67842,Lenvatinib 4mg capsules
68805,Nintedanib 150mg capsules
64388,Nintedanib 100mg capsules
77569,Ofev 150mg capsules (Boehringer Ingelheim Ltd)
77864,Palbociclib 125mg capsules
76813,Palbociclib 100mg capsules
71770,Palbociclib 75mg capsules
75883,Ibrance 75mg capsules (Pfizer Ltd)
75089,Osimertinib 80mg tablets
69604,Osimertinib 40mg tablets
74999,Alectinib 150mg capsules
75659,Midostaurin 25mg capsules
79142,Ribociclib 200mg tablets
80610,Brigatinib 30mg tablets
80852,Encorafenib 50mg capsules
81739,Abemaciclib 100mg tablets
81678,Verzenios 50mg tablets (Eli Lilly and Company Ltd)
64633,"Crisantaspase 10,000unit powder for solution for injection vials"
68388,"Asparaginase 10,000unit powder for solution for infusion vials"
38081,"Erwinase 10,000unit powder for solution for injection vials (Jazz Pharmaceuticals UK)"
6333,Hydroxycarbamide 500mg capsules
50565,Hydroxycarbamide 300mg capsules
6884,Hydrea 500mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd)
33330,Hydroxycarbamide 500mg capsules (medac UK)
65463,Siklos 1000mg tablets (Masters Pharmaceuticals Ltd)
59007,Hydroxycarbamide 500mg capsules (A A H Pharmaceuticals Ltd)
38319,Hydroxycarbamide 500mg/5ml oral solution
39548,Hydroxycarbamide 1g tablets
81118,Siklos 100mg tablets (Masters Pharmaceuticals Ltd)
47127,Hydroxycarbamide 100mg tablets
62157,Hydroxycarbamide 500mg/5ml oral suspension
43888,Pentostatin 10mg powder for solution for injection vials
13735,Estramustine 140mg capsules
13604,Estracyt 140mg capsules (Pfizer Ltd)
27752,Tretinoin 10mg capsules
28443,Vesanoid 10mg capsules (Intrapharm Laboratories Ltd)
33227,Hycamtin 4mg powder for concentrate for solution for infusion vials (Novartis Pharmaceuticals UK Ltd)
47396,Topotecan 1mg capsules
41960,Topotecan 1mg powder for solution for infusion vials
68267,Irinotecan 100mg/5ml solution for infusion vials
40983,Irinotecan 40mg/2ml solution for infusion vials
59339,Irinotecan 40mg/2ml concentrate for solution for infusion vials (Pfizer Ltd)
35826,Mitotane 500mg tablets
44478,Lysodren 500mg tablets (HRA Pharma UK Ltd)
36769,Bexarotene 75mg capsules
40379,Targretin 75mg capsules (Eisai Ltd)
25904,Arsenic 10mg/10ml solution for infusion ampoules
43120,Trisenox 10mg/10ml concentrate for solution for infusion ampoules (Teva UK Ltd)
40732,Velcade 3.5mg powder for solution for injection vials (Janssen-Cilag Ltd)
44740,Bortezomib 3.5mg powder for solution for injection vials
26050,Anagrelide 500microgram capsules
30793,Xagrid 500microgram capsules (Shire Pharmaceuticals Ltd)
62759,Eribulin 880micrograms/2ml solution for injection vials
80847,Eribulin 1320micrograms/3ml solution for injection vials
80849,Panobinostat 10mg capsules
65140,Vismodegib 150mg capsules
60112,Erivedge 150mg capsules (Roche Products Ltd)
60484,Eylea 4mg/100microlitres solution for injection vials (Bayer Plc)
75608,Aflibercept 100mg/4ml solution for infusion vials
65735,Aflibercept 4mg/100microlitres solution for injection vials
78962,Olaparib 50mg capsules
65085,Zydelig 100mg tablets (Gilead Sciences Ireland UC)
64427,Idelalisib 150mg tablets
66728,Idelalisib 100mg tablets
73926,Ixazomib 4mg capsules
81269,Venetoclax 50mg tablets
73399,Venclyxto 100mg tablets (AbbVie Ltd)
70876,Venetoclax 100mg tablets
73893,Venetoclax 10mg tablets
81930,Niraparib 100mg capsules
247,CHLORPROMAZINE 50 MG INJ
588,Chlorpromazine 25mg tablets
2154,Chlorpromazine 100mg tablets
2474,Chlorpromazine 10mg tablets
2814,Largactil 25mg Tablet (Hawgreen Ltd)
3348,Chlorpromazine 50mg tablets
3772,Largactil 50mg Tablet (Hawgreen Ltd)
3952,Chlorpromazine 25mg/5ml oral solution
4434,Chlorpromazine 50mg/5ml oral solution
7493,Largactil 100mg Tablet (Hawgreen Ltd)
7514,Largactil 50mg/2ml solution for injection ampoules (Sanofi)
8045,CHLORPROMAZINE 200 MG TAB
8311,Chlorpromazine 25mg/ml injection
8506,Chlorpromazine 100mg suppository
8519,Chlorpromazine 100mg/5ml oral solution
8771,Largactil 10mg Tablet (Hawgreen Ltd)
9190,Chlorpromazine 25mg/5ml oral solution sugar free
9965,Chlorpromazine 100mg/5ml oral suspension sugar free
10434,Largactil 25mg/5ml Oral solution (Hawgreen Ltd)
10446,CHLORPROMAZINE HCl 50 MG TAB
10689,LARGACTIL FORTE SYR
12137,CHLORPROMAZINE HCl 25 MG TAB
12356,LARGACTIL 50 MG INJ
12544,CHLORPROMAZINE HCl 100 MG MIX
13479,CHLORPROMAZINE 25 MG SUP
15418,Largactil forte 100mg/5ml Oral suspension (Hawgreen Ltd)
17221,CHLORPROMAZINE HCl 10 MG INJ
17227,Chloractil 25mg Tablet (DDSA Pharmaceuticals Ltd)
19002,Largactil 100mg Suppository (Rhone-Poulenc Rorer Ltd)
19033,CHLORPROMAZINE HCl 50 MG INJ
19738,"MORPHINE,COCAINE & CHLORPROMAZINE MIX"
22606,Chlorpromazine 25mg/1ml solution for injection ampoules
25653,Chloractil 50mg Tablet (DDSA Pharmaceuticals Ltd)
28862,Chloractil 100mg Tablet (DDSA Pharmaceuticals Ltd)
30346,CHLORPROMAZINE HCl 100 MG TAB
31171,Chlorpromazine 50mg tablets (A A H Pharmaceuticals Ltd)
31172,Chlorpromazine 50mg tablets (Teva UK Ltd)
31175,Chlorpromazine 25mg tablets (A A H Pharmaceuticals Ltd)
31184,Chlorpromazine 25mg tablets (IVAX Pharmaceuticals UK Ltd)
31747,CHLORPROMAZINE HYDROCHLORIDE
34630,Chlorpromazine 50mg tablets (Thornton & Ross Ltd)
34668,Chlorpromazine 25mg tablets (Teva UK Ltd)
34693,Chlorpromazine 25mg tablets (Thornton & Ross Ltd)
34736,Chlorpromazine 100mg tablets (Teva UK Ltd)
35929,Chlorpromazine 50mg/2ml solution for injection ampoules
37705,Chlorpromazine 100mg/5ml suspension
37871,Chlorpromazine 25mg/5ml Oral solution (Rosemont Pharmaceuticals Ltd)
41645,Chlorpromazine 25mg/ml Injection (Antigen Pharmaceuticals)
44186,Chlorpromazine 25mg/5ml oral solution (A A H Pharmaceuticals Ltd)
45281,Chlorpromazine 100mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)
46960,Chlorpromazine 100mg tablets (IVAX Pharmaceuticals UK Ltd)
55011,Largactil 25mg tablets (Sanofi)
55012,Largactil 10mg tablets (Sanofi)
56862,Chlorpromazine 25mg/5ml syrup (Rosemont Pharmaceuticals Ltd)
57550,Largactil 25mg/5ml syrup (Sanofi)
58492,Chlorpromazine 100mg tablets (Waymade Healthcare Plc)
58702,Largactil 100mg tablets (Sanofi)
58703,Largactil 50mg tablets (Sanofi)
60908,Chlorpromazine 10mg capsules
61153,Chlorpromazine 25mg tablets (Phoenix Healthcare Distribution Ltd)
65246,Chlorpromazine 10mg/5ml oral suspension
67247,Largactil 50mg tablets (Waymade Healthcare Plc)
67747,Chlorpromazine 25mg tablets (Almus Pharmaceuticals Ltd)
67820,Chlorpromazine 100mg/5ml oral suspension
4232,Nozinan 25mg tablets (Sanofi)
4442,Nozinan 25mg/1ml solution for injection ampoules (Sanofi)
5014,Levomepromazine 25mg tablets
6064,Levomepromazine 25mg/1ml solution for injection ampoules
7390,Levomepromazine 6mg tablets
21339,Veractil 25mg Tablet (Rhone-Poulenc Rorer Ltd)
28231,Levinan 6mg Tablet (Link Pharmaceuticals Ltd)
40782,Levomepromazine 6mg Tablet
49606,Levinan 6mg tablets (Archimedes Pharma UK Ltd)
52846,Nozinan 25mg/1ml solution for injection ampoules (Lexon (UK) Ltd)
53951,Levomepromazine 6.25mg/5ml oral solution
59938,Levomepromazine 25mg/1ml solution for injection ampoules (Wockhardt UK Ltd)
60250,Levomepromazine 3mg/5ml oral solution
60719,Levomepromazine 5mg/5ml oral solution
61083,Levomepromazine 25mg/1ml solution for injection ampoules (A A H Pharmaceuticals Ltd)
64673,Levomepromazine 10mg/5ml oral suspension
65843,Levomepromazine 6mg/5ml oral suspension
65865,Levomepromazine 6.25mg/5ml oral suspension
70515,Levomepromazine 6mg/5ml oral solution
71201,Levomepromazine 62.5mg/5ml oral suspension
2972,Promazine 25mg tablets
3197,Promazine 100mg tablet
3226,Sparine 50mg Tablet (Wyeth Pharmaceuticals)
3227,Sparine 50mg/5ml Liquid (Wyeth Pharmaceuticals)
3228,Promazine 50mg tablets
6443,Promazine 25mg/5ml oral solution
8988,PROMAZINE HCl 25 MG TAB
10780,Promazine 50mg/5ml oral solution
12193,Sparine 25mg Tablet (Wyeth Pharmaceuticals)
