readcode,medcode,readterm,clinicalevents,immunisationevents,referralevents,testevents,databaserelease,keep,clinevents,immevents,refevents,dbasebuild,_merge
S112700,31545,"cls spinal fracture with complete thorac cord lesion, t7-12",6,0,0,0,February 2009,1,3,0,0,February 2009,matched (3)
S112800,114382,"cls spinal fracture with anterior thorac cord lesion, t7-12",1,0,0,0,November 2019,1,,,,,master only (1)
S112900,113268,"cls spinal fracture with central thoracid cord lesion, t7-12",2,0,0,0,February 2019,1,,,,,master only (1)
S112A00,102043,"cls spinal fracture with posterior thorac cord lesion, t7-12",1,0,0,0,April 2011,1,1,0,0,April 2011,matched (3)
S112z00,73611,closed fracture of thoracic spine with cord lesion nos,14,0,0,0,February 2009,1,7,0,0,February 2009,matched (3)
S113.00,60615,open fracture of thoracic spine with spinal cord lesion,7,0,0,0,February 2009,1,5,0,0,February 2009,matched (3)
S113000,101299,"opn spinal fracture with unspec thoracic cord lesion, t1-6",1,0,0,0,January 2011,1,1,0,0,January 2011,matched (3)
S113600,114268,"opn spinal fracture with unspec thoracic cord lesion, t7-12",1,0,0,0,November 2019,1,,,,,master only (1)
S113A00,104755,"opn spinal fracture with posterior thorac cord lesion, t7-12",1,0,0,0,August 2012,1,1,0,0,August 2012,matched (3)
S114.00,44059,closed fracture of lumbar spine with spinal cord lesion,59,0,5,0,February 2009,1,41,0,4,February 2009,matched (3)
S114000,49567,closed spinal fracture with unspecified lumbar cord lesion,7,0,0,0,February 2009,1,6,0,0,February 2009,matched (3)
S114100,95529,closed spinal fracture with complete lumbar cord lesion,3,0,0,0,February 2009,1,1,0,0,February 2009,matched (3)
S114500,73788,closed spinal fracture with cauda equina lesion,5,0,0,0,February 2009,1,3,0,0,February 2009,matched (3)
S115.00,94189,open fracture of lumbar spine with spinal cord lesion,0,0,0,0,February 2009,1,0,0,0,February 2009,matched (3)
S116.00,57444,closed fracture of sacrum with spinal cord lesion,51,0,2,0,February 2009,1,34,0,2,February 2009,matched (3)
S116z00,99376,closed fracture of sacrum with spinal cord lesion nos,3,0,0,0,May 2010,1,2,0,0,May 2010,matched (3)
S117.00,96473,open fracture of sacrum with spinal cord lesion,2,0,0,0,April 2009,1,2,0,0,April 2009,matched (3)
S117300,94584,open fracture of sacrum with other spinal cord injury,2,0,0,0,February 2009,1,2,0,0,February 2009,matched (3)
S118.00,51018,closed fracture of coccyx with spinal cord lesion,9,0,1,0,February 2009,1,5,0,1,February 2009,matched (3)
S118200,113065,closed fracture of coccyx with other cauda equina injury,1,0,0,0,November 2018,1,,,,,master only (1)
S118300,113600,closed fracture of coccyx with other spinal cord injury,1,0,0,0,April 2019,1,,,,,master only (1)
S118z00,101517,closed fracture of coccyx with spinal cord lesion nos,2,0,0,0,January 2011,1,1,0,0,January 2011,matched (3)
S11x.00,30956,closed fracture of spine with spinal cord lesion unspecified,56,0,9,0,February 2009,1,56,0,9,February 2009,matched (3)
S11z.00,55195,fracture of spine with spinal cord lesion nos,20,0,0,0,February 2009,1,11,0,0,February 2009,matched (3)
S12..00,56961,"fracture of rib(s), sternum, larynx and trachea",366,0,1,0,February 2009,1,142,0,1,February 2009,matched (3)
S120.00,280,closed fracture rib,58052,0,3107,21,February 2009,1,48976,0,2955,February 2009,matched (3)
S120000,7831,"closed fracture of rib, unspecified",7914,0,37,0,February 2009,1,5958,0,31,February 2009,matched (3)
S120100,16494,closed fracture of one rib,1195,0,0,0,February 2009,1,715,0,0,February 2009,matched (3)
S120200,40533,closed fracture of two ribs,877,0,0,0,February 2009,1,418,0,0,February 2009,matched (3)
S120300,56384,closed fracture of three ribs,363,0,0,0,February 2009,1,164,0,0,February 2009,matched (3)
S120400,34197,closed fracture of four ribs,113,0,1,0,February 2009,1,57,0,1,February 2009,matched (3)
S120500,55424,closed fracture of five ribs,58,0,0,0,February 2009,1,29,0,0,February 2009,matched (3)
S120600,65484,closed fracture of six ribs,30,0,0,0,February 2009,1,15,0,0,February 2009,matched (3)
S120700,90494,closed fracture of seven ribs,7,0,0,0,February 2009,1,6,0,0,February 2009,matched (3)
S120800,68652,closed fracture of eight or more ribs,22,0,10,10,February 2009,1,19,0,10,February 2009,matched (3)
S120900,11004,closed fracture multiple ribs,2795,0,4,0,February 2009,1,1404,0,4,February 2009,matched (3)
S120A00,8968,cough fracture,498,0,11,0,February 2009,1,457,0,11,February 2009,matched (3)
S120z00,28244,closed fracture of rib(s) nos,908,0,3,0,February 2009,1,363,0,3,February 2009,matched (3)
S121.00,48224,open fracture rib,90,0,18,0,February 2009,1,74,0,17,February 2009,matched (3)
S121000,73613,"open fracture of rib, unspecified",2,0,0,0,February 2009,1,1,0,0,February 2009,matched (3)
S121100,112701,open fracture of one rib,2,0,0,0,May 2018,1,,,,,master only (1)
S121200,44826,open fracture of two ribs,5,0,0,0,February 2009,1,2,0,0,February 2009,matched (3)
S121400,113739,open fracture of four ribs,1,0,0,0,May 2019,1,,,,,master only (1)
S121700,73956,open fracture of seven ribs,1,0,0,0,February 2009,1,1,0,0,February 2009,matched (3)
S121900,71452,open fracture multiple ribs,6,0,0,0,February 2009,1,4,0,0,February 2009,matched (3)
S121z00,101560,open fracture of rib(s) nos,5,0,0,0,January 2011,1,2,0,0,January 2011,matched (3)
S122.00,3983,closed fracture sternum,7787,0,338,1,February 2009,1,6062,0,328,February 2009,matched (3)
S123.00,63982,open fracture sternum,21,0,1,0,February 2009,1,14,0,1,February 2009,matched (3)
S125.00,71567,closed fracture larynx and trachea,11,0,0,0,February 2009,1,10,0,0,February 2009,matched (3)
S125000,40394,closed fracture larynx,25,0,0,0,February 2009,1,20,0,0,February 2009,matched (3)
S125100,40078,closed fracture of hyoid bone,47,0,1,0,February 2009,1,32,0,1,February 2009,matched (3)
S125300,54855,closed fracture of trachea,5,0,0,0,February 2009,1,4,0,0,February 2009,matched (3)
S126100,96643,open fracture of hyoid bone,2,0,0,0,April 2009,1,2,0,0,April 2009,matched (3)
S126300,94108,open fracture of trachea,1,0,0,0,February 2009,1,1,0,0,February 2009,matched (3)
S127.00,9688,fracture of rib,22149,0,107,0,February 2009,1,15055,0,94,February 2009,matched (3)
S127000,10696,multiple fractures of ribs,10727,0,118,0,February 2009,1,7653,0,108,February 2009,matched (3)
S127100,28538,cough fracture of ribs,963,0,11,0,February 2009,1,665,0,8,February 2009,matched (3)
S128.00,11969,fracture of sternum,3797,0,42,0,February 2009,1,2639,0,38,February 2009,matched (3)
S12X.00,54353,"fracture of bony thorax, part unspecified",63,0,0,0,February 2009,1,34,0,0,February 2009,matched (3)
S12X000,58190,closed fracture of bony thorax part unspecified,15,0,0,0,February 2009,1,4,0,0,February 2009,matched (3)
S12y.00,99895,fracture of other parts of bony thorax,4,0,0,0,June 2010,1,2,0,0,June 2010,matched (3)
S12y000,95839,closed fracture of other parts of bony thorax,4,0,0,0,February 2009,1,2,0,0,February 2009,matched (3)
S12z.00,45723,"fracture of rib(s), sternum, larynx or trachea nos",1249,0,44,0,February 2009,1,664,0,34,February 2009,matched (3)
S12z.11,11378,rib fracture nos,5690,0,47,0,February 2009,1,4221,0,42,February 2009,matched (3)
S12z.12,27818,sternum fracture nos,564,0,6,0,February 2009,1,438,0,5,February 2009,matched (3)
S13..00,738,fracture or disruption of pelvis,13220,0,810,6,February 2009,1,10622,0,781,February 2009,matched (3)
S130.00,1591,closed fracture acetabulum,2316,0,131,0,February 2009,1,1802,0,126,February 2009,matched (3)
S130000,72525,"closed fracture acetabulum, anterior lip alone",2,0,0,0,February 2009,1,2,0,0,February 2009,matched (3)
S130100,94649,"closed fracture acetabulum, posterior lip alone",5,0,0,0,February 2009,1,4,0,0,February 2009,matched (3)
S130200,73479,"closed fracture acetabulum, anterior column",8,0,0,0,February 2009,1,2,0,0,February 2009,matched (3)
S130300,57923,"closed fracture acetabulum, posterior column",5,0,0,0,February 2009,1,3,0,0,February 2009,matched (3)
S130400,69418,"closed fracture acetabulum, floor",12,0,0,0,February 2009,1,8,0,0,February 2009,matched (3)
S130600,98267,"closed fracture acetabulum, double column unspecified",1,0,0,0,December 2009,1,1,0,0,December 2009,matched (3)
S130y00,59904,other specified closed fracture acetabulum,11,0,0,0,February 2009,1,8,0,0,February 2009,matched (3)
S130z00,45527,closed fracture acetabulum nos,79,0,0,0,February 2009,1,59,0,0,February 2009,matched (3)
S131.00,53566,open fracture acetabulum,29,0,1,0,February 2009,1,19,0,1,February 2009,matched (3)
S131y00,62562,other specified open fracture acetabulum,1,0,0,0,February 2009,1,1,0,0,February 2009,matched (3)
S131z00,64777,open fracture acetabulum nos,5,0,0,0,February 2009,1,4,0,0,February 2009,matched (3)
S132.00,5302,closed fracture pubis,8442,0,326,0,February 2009,1,6595,0,320,February 2009,matched (3)
S132000,7004,"closed fracture pelvis, single pubic ramus",10823,0,94,0,February 2009,1,7308,0,84,February 2009,matched (3)
S132100,6667,"closed fracture pelvis, multiple pubic rami - stable",4106,0,49,0,February 2009,1,2620,0,45,February 2009,matched (3)
S132200,46592,"closed fracture pelvis, multiple pubic rami - unstable",144,0,1,0,February 2009,1,105,0,1,February 2009,matched (3)
S132y00,38895,other specified closed fracture pubis,222,0,2,0,February 2009,1,164,0,2,February 2009,matched (3)
S132z00,28702,closed fracture pubis nos,503,0,7,0,February 2009,1,364,0,6,February 2009,matched (3)
S133.00,50749,open fracture of pubis,50,0,1,0,February 2009,1,36,0,1,February 2009,matched (3)
S133000,34685,"open fracture pelvis, single pubic ramus",147,0,2,0,February 2009,1,108,0,2,February 2009,matched (3)
S133100,51038,"open fracture pelvis, multiple pubic rami - stable",102,0,0,0,February 2009,1,72,0,0,February 2009,matched (3)
S133200,101447,"open fracture pelvis, multiple pubic rami - unstable",12,0,0,0,January 2011,1,11,0,0,January 2011,matched (3)
S133y00,94127,other specified open fracture of pubis,6,0,0,0,February 2009,1,4,0,0,February 2009,matched (3)
S133z00,70674,open fracture of pubis nos,8,0,0,0,February 2009,1,4,0,0,February 2009,matched (3)
S134.00,33961,other or multiple closed fracture of pelvis,235,0,4,0,February 2009,1,171,0,4,February 2009,matched (3)
S134000,40643,"closed fracture of ilium, unspecified",153,0,2,0,February 2009,1,102,0,2,February 2009,matched (3)
S134100,34708,"closed fracture pelvis, ischium",245,0,8,0,February 2009,1,194,0,7,February 2009,matched (3)
S134300,41698,"closed fracture pelvis, ischial tuberosity",157,0,5,0,February 2009,1,114,0,5,February 2009,matched (3)
S134400,28234,"closed fracture pelvis, anterior superior iliac spine",209,0,0,0,February 2009,1,140,0,0,February 2009,matched (3)
S134500,40587,"closed fracture pelvis, anterior inferior iliac spine",176,0,0,0,February 2009,1,129,0,0,February 2009,matched (3)
S134600,27854,"closed fracture pelvis, iliac wing",848,0,8,0,February 2009,1,623,0,8,February 2009,matched (3)
S134700,52470,closed vertical fracture of ilium,6,0,0,0,February 2009,1,3,0,0,February 2009,matched (3)
S134z00,11639,other or multiple closed fracture of pelvis nos,125,0,1,0,February 2009,1,91,0,0,February 2009,matched (3)
S135.00,65084,other or multiple open fracture of pelvis,10,0,0,0,February 2009,1,9,0,0,February 2009,matched (3)
S135000,96984,"open fracture of ilium, unspecified",4,0,0,0,June 2009,1,2,0,0,June 2009,matched (3)
S135100,108000,"open fracture pelvis, ischium",2,0,0,0,May 2014,1,1,0,0,May 2014,matched (3)
S135300,68763,"open fracture pelvis, ischial tuberosity",2,0,0,0,February 2009,1,1,0,0,February 2009,matched (3)
S135400,43448,"open fracture pelvis, anterior superior iliac spine",8,0,0,0,February 2009,1,7,0,0,February 2009,matched (3)
S135500,112187,"open fracture pelvis, anterior inferior iliac spine",2,0,0,0,September 2017,1,,,,,master only (1)
S135600,67669,"open fracture pelvis, iliac wing",26,0,1,0,February 2009,1,16,0,0,February 2009,matched (3)
S135y00,99203,other open fracture of pelvis,5,0,0,0,April 2010,1,3,0,0,April 2010,matched (3)
S135z00,35018,other/multiple open fracture of pelvis nos,2,0,1,0,February 2009,1,2,0,1,February 2009,matched (3)
S13y.00,28375,closed fracture of pelvis nos,3596,0,28,0,February 2009,1,2390,0,23,February 2009,matched (3)
S13z.00,64139,open fracture of pelvis nos,69,0,1,0,February 2009,1,39,0,1,February 2009,matched (3)
S14..00,63242,fracture of ill-defined bones of trunk,17,0,0,0,February 2009,1,13,0,0,February 2009,matched (3)
S140.00,60608,closed fracture of ill-defined bone of trunk,7,0,0,0,February 2009,1,6,0,0,February 2009,matched (3)
S14z.00,57981,fracture of ill-defined bone of trunk nos,9,0,0,0,February 2009,1,4,0,0,February 2009,matched (3)
S15..00,5381,fracture of thoracic vertebra,9665,0,148,0,February 2009,1,6186,0,122,February 2009,matched (3)
S150.00,11277,multiple fractures of thoracic spine,1682,0,49,0,February 2009,1,1145,0,36,February 2009,matched (3)
S150000,35260,closed multiple fractures of thoracic spine,205,0,3,0,February 2009,1,144,0,3,February 2009,matched (3)
S150100,66322,open multiple fracture of thoracic spine,1,0,0,0,February 2009,1,1,0,0,February 2009,matched (3)
S1z..00,25284,fracture of neck and trunk nos,164,0,1,0,February 2009,1,109,0,1,February 2009,matched (3)
S2...00,6195,fracture of upper limb,103135,0,1343,0,February 2009,1,69191,0,1168,February 2009,matched (3)
S2...11,5929,arm fracture,26607,0,505,0,February 2009,1,18977,0,457,February 2009,matched (3)
S20..00,483,fracture of clavicle,218056,0,7031,23,February 2009,1,166335,0,6665,February 2009,matched (3)
S20..11,4211,collar bone fracture,3422,0,160,1,February 2009,1,2787,0,142,February 2009,matched (3)
S200.00,33749,closed fracture of clavicle,5357,0,46,1,February 2009,1,3363,0,40,February 2009,matched (3)
S200000,44715,"closed fracture of clavicle, unspecified part",989,0,1,0,February 2009,1,559,0,1,February 2009,matched (3)
S200100,44711,"closed fracture clavicle, medial end",219,0,0,0,February 2009,1,148,0,0,February 2009,matched (3)
S200200,28307,"closed fracture clavicle, shaft",3010,0,6,0,February 2009,1,2159,0,5,February 2009,matched (3)
S200300,29899,"closed fracture clavicle, lateral end",1012,0,5,0,February 2009,1,643,0,5,February 2009,matched (3)
S200z00,28179,closed fracture of clavicle nos,1347,0,15,0,February 2009,1,845,0,10,February 2009,matched (3)
S201.00,61812,open fracture of clavicle,52,0,0,0,February 2009,1,29,0,0,February 2009,matched (3)
S201000,70864,"open fracture of clavicle, unspecified part",16,0,0,0,February 2009,1,11,0,0,February 2009,matched (3)
S201100,100040,"open fracture clavicle, medial end",4,0,0,0,July 2010,1,3,0,0,July 2010,matched (3)
S201200,17956,"open fracture clavicle, shaft",233,0,0,0,February 2009,1,102,0,0,February 2009,matched (3)
S201300,68556,"open fracture clavicle, lateral end",8,0,0,0,February 2009,1,4,0,0,February 2009,matched (3)
S201z00,94460,open fracture of clavicle nos,10,0,0,0,February 2009,1,7,0,0,February 2009,matched (3)
S20z.00,28066,fracture of clavicle nos,5842,0,42,15,February 2009,1,3168,0,32,February 2009,matched (3)
S21..00,1177,fracture of scapula,10636,0,748,1,February 2009,1,8149,0,710,February 2009,matched (3)
S21..11,10735,shoulder blade fracture,1828,0,74,0,February 2009,1,1272,0,72,February 2009,matched (3)
S210.00,27620,closed fracture of scapula,447,0,5,0,February 2009,1,309,0,3,February 2009,matched (3)
S210000,38028,"closed fracture of scapula, unspecified part",104,0,0,0,February 2009,1,71,0,0,February 2009,matched (3)
S210100,16389,"closed fracture scapula, acromion",1196,0,65,0,February 2009,1,893,0,64,February 2009,matched (3)
S210200,34907,"closed fracture scapula, coracoid",199,0,6,0,February 2009,1,142,0,5,February 2009,matched (3)
S210300,4029,"closed fracture scapula, glenoid",1259,0,36,0,February 2009,1,891,0,30,February 2009,matched (3)
S210400,5344,"closed fracture scapula, blade",714,0,134,0,February 2009,1,638,0,134,February 2009,matched (3)
S210500,48859,"closed fracture scapula, spine",63,0,0,0,February 2009,1,34,0,0,February 2009,matched (3)
S210600,36332,"closed fracture scapula, neck",77,0,1,0,February 2009,1,59,0,1,February 2009,matched (3)
S210z00,57592,closed fracture of scapula nos,110,0,0,0,February 2009,1,66,0,0,February 2009,matched (3)
S211.00,35386,open fracture of scapula,11,0,0,0,February 2009,1,6,0,0,February 2009,matched (3)
S211000,73768,"open fracture of scapula, unspecified part",1,0,0,0,February 2009,1,1,0,0,February 2009,matched (3)
S211100,55687,"open fracture scapula, acromion",18,0,0,0,February 2009,1,14,0,0,February 2009,matched (3)
S211200,64021,"open fracture scapula, coracoid",4,0,0,0,February 2009,1,3,0,0,February 2009,matched (3)
S211300,60108,"open fracture scapula, glenoid",34,0,0,0,February 2009,1,16,0,0,February 2009,matched (3)
S211400,73109,"open fracture scapula, blade",3,0,0,0,February 2009,1,2,0,0,February 2009,matched (3)
S211600,71953,"open fracture scapula, neck",1,0,0,0,February 2009,1,1,0,0,February 2009,matched (3)
S211z00,94435,open fracture of scapula nos,2,0,0,0,February 2009,1,2,0,0,February 2009,matched (3)
S21z.00,33870,fracture of scapula nos,420,0,6,4,February 2009,1,255,0,6,February 2009,matched (3)
S22..00,517,fracture of humerus,156621,0,5869,11,February 2009,1,118723,0,5561,February 2009,matched (3)
S220.00,11222,closed fracture of the proximal humerus,12033,0,348,2,February 2009,1,8432,0,349,February 2009,matched (3)
S220000,44721,"closed fracture of proximal humerus, unspecified part",733,0,10,0,February 2009,1,484,0,5,February 2009,matched (3)
S220100,11313,"closed fracture proximal humerus, neck",5331,0,59,0,February 2009,1,3291,0,51,February 2009,matched (3)
S220200,33489,"closed fracture of proximal humerus, anatomical neck",202,0,0,0,February 2009,1,125,0,0,February 2009,matched (3)
S220300,11044,"closed fracture proximal humerus, greater tuberosity",1758,0,25,0,February 2009,1,1141,0,25,February 2009,matched (3)
S220400,28739,"closed fracture proximal humerus, head",715,0,8,0,February 2009,1,449,0,7,February 2009,matched (3)
S220500,52406,"closed fracture of humerus, upper epiphysis",86,0,0,0,February 2009,1,60,0,0,February 2009,matched (3)
S220600,40330,"closed fracture proximal humerus, three part",142,0,3,0,February 2009,1,96,0,2,February 2009,matched (3)
S220700,29137,"closed fracture proximal humerus, four part",69,0,1,0,February 2009,1,50,0,1,February 2009,matched (3)
S220z00,38353,closed fracture of proximal humerus not otherwise specified,260,0,0,0,February 2009,1,150,0,0,February 2009,matched (3)
S221.00,9420,open fracture of the proximal humerus,224,0,44,0,February 2009,1,153,0,42,February 2009,matched (3)
S221.11,10622,shoulder fracture - open,590,0,26,0,February 2009,1,416,0,21,February 2009,matched (3)
S221000,53688,"open fracture of proximal humerus, unspecified part",15,0,0,0,February 2009,1,9,0,0,February 2009,matched (3)
S221100,53622,"open fracture proximal humerus, neck",38,0,0,0,February 2009,1,22,0,0,February 2009,matched (3)
S221200,71207,"open fracture of proximal humerus, anatomical neck",5,0,0,0,February 2009,1,4,0,0,February 2009,matched (3)
S221300,48239,"open fracture proximal humerus, greater tuberosity",31,0,0,0,February 2009,1,24,0,0,February 2009,matched (3)
S221400,70486,"open fracture proximal humerus, head",8,0,0,0,February 2009,1,5,0,0,February 2009,matched (3)
S221500,59943,"open fracture of humerus, upper epiphysis",4,0,0,0,February 2009,1,2,0,0,February 2009,matched (3)
S221600,70604,"open fracture proximal humerus, three part",5,0,0,0,February 2009,1,4,0,0,February 2009,matched (3)
S221700,70653,"open fracture proximal humerus, four part",1,0,0,0,February 2009,1,1,0,0,February 2009,matched (3)
S221z00,45275,open fracture of proximal humerus not otherwise specified,8,0,0,0,February 2009,1,6,0,0,February 2009,matched (3)
S222.00,36464,"closed fracture of humerus, shaft or unspecified part",493,0,4,0,February 2009,1,355,0,3,February 2009,matched (3)
S222000,19186,closed fracture of humerus nos,1364,0,25,0,February 2009,1,866,0,20,February 2009,matched (3)
S222100,27886,"closed fracture of humerus, shaft",1205,0,8,0,February 2009,1,815,0,7,February 2009,matched (3)
S222z00,61378,"closed fracture of humerus, shaft or unspecified part nos",56,0,0,0,February 2009,1,37,0,0,February 2009,matched (3)
S223.00,33680,"open fracture of humerus, shaft or unspecified part",32,0,1,0,February 2009,1,28,0,0,February 2009,matched (3)
S223000,48961,open fracture of humerus nos,74,0,0,0,February 2009,1,53,0,0,February 2009,matched (3)
S223100,40358,"open fracture of humerus, shaft",44,0,0,0,February 2009,1,25,0,0,February 2009,matched (3)
S223z00,73426,"open fracture of humerus, shaft or unspecified part nos",5,0,0,0,February 2009,1,4,0,0,February 2009,matched (3)
S224.00,15376,closed fracture of the distal humerus,5727,0,210,0,February 2009,1,3391,0,174,February 2009,matched (3)
S224.11,1250,elbow fracture - closed,60856,0,3280,8,February 2009,1,46185,0,3148,February 2009,matched (3)
S224000,33720,"closed fracture of elbow, unspecified part",1827,0,14,8,February 2009,1,1166,0,12,February 2009,matched (3)
S224100,6893,"closed fracture distal humerus, supracondylar",21703,0,295,0,February 2009,1,15609,0,285,February 2009,matched (3)
S224200,18394,"closed fracture distal humerus, lateral condyle",1300,0,11,0,February 2009,1,926,0,6,February 2009,matched (3)
S224300,40367,"closed fracture distal humerus, medial condyle",495,0,1,0,February 2009,1,345,0,1,February 2009,matched (3)
S224400,32348,"closed fracture of distal humerus, condyle(s) unspecified",128,0,2,0,February 2009,1,85,0,2,February 2009,matched (3)
S224500,52083,"closed fracture of distal humerus, trochlea",82,0,0,0,February 2009,1,54,0,0,February 2009,matched (3)
S224600,8661,"closed fracture distal humerus, lateral epicondyle",1620,0,6,0,February 2009,1,1096,0,6,February 2009,matched (3)
S224700,28724,"closed fracture distal humerus, medial epicondyle",1665,0,6,0,February 2009,1,1178,0,5,February 2009,matched (3)
S224800,28393,"closed fracture distal humerus, capitellum",501,0,4,0,February 2009,1,375,0,4,February 2009,matched (3)
S224900,53677,"closed fracture distal humerus, bicondylar (t-y fracture)",18,0,0,0,February 2009,1,12,0,0,February 2009,matched (3)
S224x00,62833,"closed fracture of distal humerus, multiple",26,0,2,0,February 2009,1,15,0,1,February 2009,matched (3)
S224z00,33540,"closed fracture of distal humerus, not otherwise specified",239,0,1,0,February 2009,1,161,0,1,February 2009,matched (3)
S225.00,34172,open fracture of the distal humerus,298,0,27,0,February 2009,1,204,0,26,February 2009,matched (3)
S225.11,7754,elbow fracture - open,1313,0,31,1,February 2009,1,967,0,26,February 2009,matched (3)
S225000,44142,"open fracture of elbow, unspecified part",86,0,0,0,February 2009,1,49,0,0,February 2009,matched (3)
S225100,31760,"open fracture distal humerus, supracondylar",571,0,3,0,February 2009,1,389,0,3,February 2009,matched (3)
S225200,60163,"open fracture distal humerus, lateral condyle",74,0,1,0,February 2009,1,52,0,1,February 2009,matched (3)
S225300,69312,"open fracture distal humerus, medial condyle",17,0,0,0,February 2009,1,8,0,0,February 2009,matched (3)
S225400,86803,"open fracture of distal humerus, condyle(s) unspecified",4,0,0,0,February 2009,1,3,0,0,February 2009,matched (3)
S225500,63899,"open fracture of distal humerus, trochlea",5,0,0,0,February 2009,1,3,0,0,February 2009,matched (3)
S225600,48217,"open fracture distal humerus, lateral epicondyle",57,0,0,0,February 2009,1,47,0,0,February 2009,matched (3)
S225700,16866,"open fracture distal humerus, medial epicondyle",94,0,0,0,February 2009,1,64,0,0,February 2009,matched (3)
S225800,32646,"open fracture distal humerus, capitellum",52,0,0,0,February 2009,1,33,0,0,February 2009,matched (3)
S225900,97820,"open fracture distal humerus, bicondylar (t-y fracture)",2,0,0,0,October 2009,1,2,0,0,October 2009,matched (3)
S225x00,99325,"open fracture of distal humerus, multiple",2,0,0,0,May 2010,1,2,0,0,May 2010,matched (3)
S225z00,47839,"open fracture of distal humerus, not otherwise specified",16,0,0,0,February 2009,1,10,0,0,February 2009,matched (3)
S226.00,2101,fracture of upper end of humerus,5095,0,476,1,February 2009,1,3878,0,453,February 2009,matched (3)
S227.00,30659,fracture of shaft of humerus,1548,0,13,0,February 2009,1,990,0,13,February 2009,matched (3)
S228.00,1548,fracture of lower end of humerus,6390,0,632,1,February 2009,1,5017,0,603,February 2009,matched (3)
S22z.00,10382,fracture of humerus nos,9189,0,88,12,February 2009,1,5268,0,76,February 2009,matched (3)
S23..00,6825,fracture of radius and ulna,107035,0,680,41,February 2009,1,72004,0,595,February 2009,matched (3)
S23..11,10640,forearm fracture,7456,0,109,0,February 2009,1,5149,0,105,February 2009,matched (3)
S230.00,43570,closed fracture of proximal radius and ulna,1420,0,7,0,February 2009,1,1117,0,6,February 2009,matched (3)
S230000,33933,"closed fracture of proximal forearm, unspecified part",173,0,0,0,February 2009,1,112,0,0,February 2009,matched (3)
S230100,9538,"closed fracture olecranon, extra-articular",8946,0,270,0,February 2009,1,6602,0,256,February 2009,matched (3)
S230200,17822,"closed fracture of ulna, coronoid",657,0,2,0,February 2009,1,450,0,2,February 2009,matched (3)
S230300,2662,closed monteggia's fracture,1045,0,17,0,February 2009,1,767,0,17,February 2009,matched (3)
S230400,34371,"closed fracture of proximal ulna, comminuted",27,0,0,0,February 2009,1,17,0,0,February 2009,matched (3)
S230500,34426,closed fracture of the proximal ulna,424,0,0,0,February 2009,1,235,0,0,February 2009,matched (3)
S230600,7009,"closed fracture radius, head",29209,0,433,0,February 2009,1,20949,0,401,February 2009,matched (3)
S230700,7660,"closed fracture radius, neck",3463,0,16,0,February 2009,1,2463,0,8,February 2009,matched (3)
S230800,34370,"closed fracture proximal radius, comminuted",72,0,0,0,February 2009,1,46,0,0,February 2009,matched (3)
S230900,33883,closed fracture of the proximal radius,1025,0,4,0,February 2009,1,692,0,3,February 2009,matched (3)
S230A00,44538,"closed fracture radius and ulna, proximal",235,0,0,0,February 2009,1,165,0,0,February 2009,matched (3)
S230B00,12063,"closed fracture olecranon, intra-articular",2404,0,12,0,February 2009,1,1668,0,11,February 2009,matched (3)
S230z00,42957,closed fracture of proximal forearm not otherwise specified,124,0,1,0,February 2009,1,112,0,1,February 2009,matched (3)
S231.00,45695,open fracture of proximal radius and ulna,64,0,0,0,February 2009,1,48,0,0,February 2009,matched (3)
S231000,50223,"open fracture of proximal forearm, unspecified",14,0,0,0,February 2009,1,8,0,0,February 2009,matched (3)
S231100,29152,"open fracture olecranon, extra-articular",518,0,6,0,February 2009,1,356,0,6,February 2009,matched (3)
S231200,52614,"open fracture of ulna, coronoid",11,0,0,0,February 2009,1,8,0,0,February 2009,matched (3)
S231300,10246,open monteggia's fracture,154,0,1,0,February 2009,1,112,0,1,February 2009,matched (3)
S231400,112944,"open fracture proximal ulna, comminuted",4,0,0,0,September 2018,1,,,,,master only (1)
S231500,61374,open fracture of the proximal ulna,20,0,0,0,February 2009,1,16,0,0,February 2009,matched (3)
S231600,7636,open fracture radial head,1178,0,1,0,February 2009,1,537,0,0,February 2009,matched (3)
S231700,34737,open fracture radial neck,404,0,0,0,February 2009,1,234,0,0,February 2009,matched (3)
S231800,72408,"open fracture proximal radius, comminuted",4,0,0,0,February 2009,1,1,0,0,February 2009,matched (3)
S231900,63948,open fracture of the proximal radius,18,0,0,0,February 2009,1,11,0,0,February 2009,matched (3)
S231A00,37875,"open fracture radius and ulna, proximal",23,0,0,0,February 2009,1,18,0,0,February 2009,matched (3)
S231B00,8410,"open fracture olecranon, intra-articular",376,0,7,0,February 2009,1,259,0,7,February 2009,matched (3)
S231z00,55201,"open fracture of forearm, upper end, nos",10,0,1,0,February 2009,1,6,0,1,February 2009,matched (3)
S232.00,26324,"closed fracture of radius and ulna, shaft",1939,0,4,0,February 2009,1,1500,0,4,February 2009,matched (3)
S232000,51364,"closed fracture of radius, shaft, unspecified",552,0,4,0,February 2009,1,413,0,2,February 2009,matched (3)
S232100,42864,closed fracture of the radial shaft,1176,0,4,0,February 2009,1,827,0,3,February 2009,matched (3)
S232200,44790,closed fracture of the ulnar shaft,913,0,8,0,February 2009,1,530,0,5,February 2009,matched (3)
S232300,35031,"closed fracture radius and ulna, middle",517,0,1,0,February 2009,1,337,0,1,February 2009,matched (3)
